index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Monday 12 a.m.,popular_times
0,Silk Lounge,"132 Powell St, Vancouver, BC V6A 1G1",Indian restaurant,49.2898576,-123.1257873,None,None,None,None,None,None,0%,0%,0%,0%,0%,19%,None,42%,19%,23%,0%,23%,26%,53%,30%,50%,42%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,42%,None,15%,38%,7%,15%,7%,34%,53%,65%,15%,46%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,3%,7%,46%,7%,11%,15%,69%,30%,30%,7%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,7%,None,26%,11%,11%,34%,15%,34%,15%,76%,15%,19%,7%,None,None,None,None,None,None,0%,0%,0%,0%,0%,38%,None,0%,19%,23%,15%,30%,11%,69%,38%,76%,7%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,50%,None,23%,0%,23%,23%,30%,34%,19%,65%,76%,100%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,30%,None,30%,50%,0%,26%,23%,42%,61%,23%,46%,88%,61%,19%,11%,50%,0%,15%,42%,76%,,,,,,,,
1,Five Guys,"635 Robson St, Vancouver, BC V6B 5J3",Fast food restaurant,49.2810797,-123.1370974,None,None,None,None,None,None,0%,0%,0%,0%,29%,47%,None,80%,64%,47%,67%,77%,61%,51%,78%,30%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,15%,54%,None,55%,86%,59%,48%,70%,84%,55%,41%,62%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,20%,32%,None,71%,51%,86%,60%,55%,71%,83%,42%,25%,43%,0%,None,None,None,None,None,None,0%,0%,0%,0%,21%,40%,None,81%,59%,53%,88%,64%,57%,67%,77%,25%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,15%,42%,None,62%,77%,52%,56%,96%,62%,48%,53%,66%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,19%,38%,None,59%,67%,70%,53%,58%,100%,53%,36%,35%,47%,0%,None,None,None,None,None,None,0%,0%,0%,0%,22%,38%,None,69%,54%,65%,70%,59%,58%,95%,44%,25%,0%,0%,52%,69%,76%,50%,59%,64%,61%,,,,,,,,
2,Fatburger Granville,"734 Granville St, Vancouver, BC V6Z 1E4",Fast food restaurant,49.2810797,-123.1370974,None,None,None,None,None,None,0%,0%,0%,0%,16%,16%,None,37%,52%,35%,69%,56%,37%,35%,84%,47%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,18%,20%,None,39%,28%,49%,50%,58%,83%,41%,37%,83%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,35%,33%,None,18%,45%,39%,47%,86%,64%,88%,62%,18%,60%,0%,None,None,None,None,None,None,0%,0%,0%,0%,22%,26%,None,15%,18%,24%,41%,54%,88%,49%,84%,30%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,5%,49%,None,45%,13%,15%,20%,56%,52%,100%,41%,56%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,32%,13%,None,37%,54%,16%,22%,13%,58%,50%,84%,26%,28%,0%,None,None,None,None,None,None,0%,0%,0%,0%,11%,39%,None,58%,47%,64%,39%,28%,20%,62%,37%,66%,0%,0%,43%,26%,18%,43%,39%,62%,24%,,,,,,,,
3,Mean Poutine,"718 Nelson St, Vancouver, BC V6Z 1L2",Fast food restaurant,49.2810797,-123.1370974,None,None,None,85%,None,None,0%,0%,0%,0%,None,35%,None,32%,32%,32%,42%,None,67%,42%,32%,75%,60%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,None,None,28%,39%,17%,32%,50%,None,67%,53%,46%,71%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,17%,None,46%,60%,32%,7%,46%,53%,None,64%,57%,35%,67%,None,None,None,None,None,None,None,0%,0%,0%,0%,39%,None,None,50%,46%,14%,7%,71%,50%,None,64%,46%,57%,None,21%,None,None,None,None,0%,None,0%,0%,0%,21%,None,32%,None,39%,46%,10%,14%,82%,64%,None,42%,0%,None,85%,21%,None,None,None,0%,0%,None,0%,0%,25%,None,60%,32%,None,46%,25%,10%,32%,100%,46%,None,0%,None,None,100%,21%,None,None,0%,0%,0%,None,0%,21%,None,32%,35%,28%,None,50%,42%,32%,57%,89%,39%,None,25%,46%,,35%,57%,28%,28%,39%,60%,,,,,,
4,New Brandiz Fast Food,"100 E Hastings St, Vancouver, BC V6A 4J1",Fast food restaurant,49.2811977,-123.1201247,None,None,None,None,None,None,None,0%,0%,0%,None,6%,None,None,31%,87%,18%,None,25%,25%,None,25%,0%,62%,None,None,None,None,None,None,0%,None,0%,0%,0%,None,None,37%,None,31%,62%,6%,None,25%,37%,None,12%,0%,None,None,None,None,None,None,0%,0%,None,0%,0%,12%,None,18%,43%,None,18%,31%,6%,None,12%,43%,None,6%,None,None,None,None,None,None,None,0%,0%,None,0%,43%,None,None,43%,25%,None,31%,18%,18%,None,37%,25%,None,None,None,None,None,None,None,0%,None,0%,0%,None,37%,None,6%,None,56%,18%,None,56%,25%,50%,None,31%,0%,None,None,None,None,None,None,0%,0%,None,0%,0%,None,None,93%,25%,None,43%,6%,None,31%,12%,62%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,0%,37%,None,50%,100%,25%,None,43%,6%,None,25%,6%,56%,None,37%,6%,,6%,81%,37%,,0%,,62%,,,,,
5,Mr. Shawarma Granville Location,"680 Granville St, Vancouver, BC V7Y 1H4",Fast food restaurant,49.2826324,-123.1357453,None,None,None,None,None,None,0%,0%,0%,0%,0%,39%,None,21%,7%,14%,32%,7%,28%,7%,32%,46%,21%,10%,None,None,None,None,None,None,0%,0%,0%,0%,0%,21%,None,25%,21%,14%,3%,17%,3%,25%,10%,35%,17%,21%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,46%,10%,32%,10%,3%,7%,10%,42%,25%,53%,10%,None,None,None,None,None,None,0%,0%,0%,0%,0%,57%,None,28%,57%,10%,60%,21%,10%,3%,3%,21%,60%,25%,None,None,None,None,None,None,0%,0%,0%,0%,0%,25%,None,35%,39%,100%,17%,35%,28%,21%,10%,7%,14%,53%,None,None,None,None,None,None,0%,0%,0%,0%,0%,75%,None,17%,46%,35%,82%,39%,21%,53%,14%,14%,14%,10%,None,None,None,None,None,None,0%,0%,0%,0%,0%,7%,None,10%,10%,28%,17%,57%,17%,10%,57%,14%,7%,35%,10%,35%,35%,25%,32%,17%,35%,,,,,,,,
6,Fresh Donair,"1009 Granville St, Vancouver, BC V6Z 1L3",Fast food restaurant,49.2826324,-123.1357453,None,61%,19%,3%,None,None,0%,0%,0%,0%,None,16%,None,25%,9%,6%,12%,None,51%,3%,41%,6%,38%,61%,None,None,54%,25%,None,None,0%,0%,0%,0%,6%,None,None,25%,22%,6%,9%,22%,None,35%,3%,45%,12%,25%,None,67%,None,67%,None,None,0%,0%,0%,0%,0%,6%,None,25%,9%,38%,16%,19%,41%,None,16%,12%,41%,19%,None,35%,74%,None,54%,None,None,0%,0%,0%,29%,3%,None,None,9%,6%,32%,19%,16%,41%,None,16%,29%,35%,None,9%,25%,100%,None,None,0%,None,0%,0%,0%,38%,None,25%,None,12%,9%,22%,9%,16%,35%,None,19%,38%,None,35%,19%,22%,35%,None,0%,0%,None,0%,32%,6%,None,3%,35%,None,22%,12%,19%,6%,35%,51%,None,38%,None,25%,16%,19%,None,None,0%,0%,0%,None,22%,41%,None,25%,9%,19%,None,45%,6%,29%,0%,35%,54%,None,35%,22%,,19%,0%,48%,12%,9%,38%,48%,25%,32%,45%,,
7,McDonald's,"275 Robson St #211, Vancouver, BC V6B 0E7",Fast food restaurant,49.2826324,-123.1357453,None,6%,6%,12%,9%,6%,13%,29%,38%,57%,54%,86%,None,82%,43%,37%,48%,67%,39%,29%,68%,39%,29%,20%,None,31%,5%,5%,9%,13%,11%,31%,40%,51%,65%,60%,None,79%,67%,50%,43%,59%,60%,52%,37%,68%,38%,25%,None,14%,23%,9%,2%,9%,25%,25%,51%,54%,50%,73%,None,68%,72%,51%,51%,51%,64%,52%,47%,44%,55%,35%,None,15%,6%,21%,3%,4%,14%,32%,38%,56%,53%,55%,None,73%,55%,59%,51%,50%,39%,62%,57%,45%,38%,27%,None,6%,7%,3%,4%,9%,7%,31%,52%,50%,68%,50%,None,46%,86%,51%,40%,56%,51%,39%,55%,70%,27%,27%,None,7%,1%,4%,6%,5%,12%,20%,38%,68%,56%,82%,None,59%,36%,84%,50%,30%,52%,45%,30%,46%,67%,11%,None,11%,7%,3%,7%,6%,13%,27%,39%,53%,80%,67%,None,42%,42%,37%,78%,50%,25%,60%,40%,37%,31%,51%,72%,81%,64%,65%,68%,40%,100%,17%,11%,14%,17%,18%,4%,37%,
8,Popeyes Louisiana Kitchen,"897 Granville St, Vancouver, BC V6Z 1L1",Chicken restaurant,49.2826324,-123.1357453,None,None,None,None,None,None,None,0%,0%,0%,None,0%,None,None,12%,6%,18%,None,12%,43%,None,18%,25%,0%,None,None,None,None,None,None,0%,None,0%,0%,0%,None,None,25%,None,12%,18%,25%,None,12%,75%,None,6%,0%,None,None,None,None,None,None,0%,0%,None,0%,0%,25%,None,12%,43%,None,0%,12%,62%,None,18%,87%,None,12%,None,None,None,None,None,None,None,0%,0%,None,0%,0%,None,None,25%,50%,None,12%,0%,81%,None,12%,93%,None,None,37%,None,None,None,None,0%,None,0%,0%,None,25%,None,18%,None,12%,18%,None,25%,0%,100%,None,18%,0%,None,None,50%,None,None,None,0%,0%,None,0%,0%,None,None,0%,18%,None,6%,6%,None,56%,6%,56%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,0%,6%,None,31%,0%,25%,None,6%,12%,None,37%,12%,31%,None,6%,6%,,12%,0%,18%,,18%,,,,,,,
9,McDonald's,"1055 W Georgia St Suite #120, Vancouver, BC V6E 3P2",Fast food restaurant,49.2826324,-123.1357453,None,0%,2%,3%,7%,23%,39%,18%,78%,76%,75%,63%,None,93%,60%,80%,93%,72%,57%,49%,45%,33%,24%,25%,None,3%,1%,4%,4%,19%,40%,61%,26%,77%,69%,86%,None,84%,97%,60%,82%,94%,58%,39%,40%,38%,29%,16%,None,8%,3%,3%,13%,11%,35%,62%,74%,29%,76%,69%,None,77%,80%,92%,55%,83%,78%,45%,27%,37%,27%,17%,None,9%,4%,2%,10%,27%,23%,53%,72%,75%,34%,84%,None,97%,75%,79%,84%,49%,67%,56%,39%,23%,28%,16%,None,2%,4%,5%,1%,25%,49%,35%,63%,73%,69%,40%,None,81%,100%,74%,80%,78%,42%,51%,41%,32%,19%,17%,None,5%,0%,4%,8%,3%,47%,68%,48%,62%,69%,74%,None,88%,83%,98%,75%,79%,69%,37%,39%,37%,25%,9%,None,3%,4%,0%,8%,20%,9%,65%,80%,60%,60%,73%,None,55%,81%,86%,89%,73%,64%,56%,36%,33%,36%,14%,82%,74%,92%,76%,93%,46%,85%,9%,11%,14%,10%,8%,3%,8%,
10,Fatburger Waterfront Centre,"200 Burrard St #23, Vancouver, BC V6C 3L6",Hamburger restaurant,49.2826324,-123.1357453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chicken World Canada | Vancouver Fried Chicken | Halal | Smash Burgers | Fried Chicken Burgers | Poutines | Shakes,"1181 Denman St, Vancouver, BC V6G 2N1",Fast food restaurant,49.2878543,-123.1592251,None,None,None,None,None,None,0%,0%,0%,0%,0%,19%,None,86%,38%,47%,38%,75%,80%,72%,61%,33%,19%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,30%,None,63%,91%,44%,55%,30%,75%,83%,63%,55%,16%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,38%,None,55%,80%,97%,63%,47%,36%,61%,66%,41%,50%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,25%,None,36%,44%,77%,80%,100%,66%,36%,58%,36%,41%,36%,None,None,None,None,None,None,0%,0%,0%,0%,0%,13%,None,63%,55%,52%,52%,77%,94%,66%,47%,44%,11%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,63%,63%,47%,47%,61%,63%,80%,50%,47%,41%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,22%,61%,52%,75%,69%,72%,58%,55%,38%,44%,16%,36%,33%,36%,50%,50%,27%,55%,,,,,,,,
12,Food Republic,"488 Robson St, Vancouver, BC V6B 2B7",Fast food restaurant,49.279823,-123.1359097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ming Fong Fast Food,"180 Keefer St, Vancouver, BC V6A 1X4",Chinese restaurant,49.2790409,-123.1188516,None,None,None,None,None,None,0%,0%,0%,0%,18%,25%,None,41%,4%,20%,32%,2%,27%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,20%,11%,None,67%,55%,9%,16%,39%,6%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,48%,39%,None,27%,76%,55%,20%,9%,20%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,18%,39%,None,2%,34%,51%,51%,20%,13%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,44%,34%,None,48%,6%,55%,37%,27%,27%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,65%,32%,None,20%,41%,16%,48%,34%,16%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,32%,67%,None,6%,34%,39%,6%,41%,58%,0%,0%,0%,0%,0%,100%,37%,4%,37%,25%,16%,44%,,,,,,,,
